date,year,month,hour,holiday,weekday,working,weather_type,temp,feels_like,humidity,windspeed,count
1/1/11,0,1,0,0,6,0,1,9.02,14.6829,0.81,0,16
1/1/11,0,1,1,0,6,0,1,9.02,13.9077,0.8,0,40
1/1/11,0,1,2,0,6,0,1,9.02,13.9077,0.8,0,32
1/1/11,0,1,3,0,6,0,1,9.84,14.6829,0.75,0,13
1/1/11,0,1,4,0,6,0,1,9.84,14.6829,0.75,0,1
1/1/11,0,1,5,0,6,0,2,9.84,13.1376,0.75,6.0032,1
1/1/11,0,1,6,0,6,0,1,9.02,13.9077,0.8,0,2
1/1/11,0,1,7,0,6,0,1,8.2,13.1376,0.86,0,3
1/1/11,0,1,8,0,6,0,1,9.84,14.6829,0.75,0,8
1/1/11,0,1,9,0,6,0,1,13.12,17.7735,0.76,0,14
1/1/11,0,1,10,0,6,0,1,15.58,20.0889,0.76,16.9979,36
1/1/11,0,1,11,0,6,0,1,14.76,16.9983,0.81,19.0012,56
1/1/11,0,1,12,0,6,0,1,17.22,21.6342,0.77,19.0012,84
1/1/11,0,1,13,0,6,0,2,18.86,23.1795,0.72,19.9995,94
1/1/11,0,1,14,0,6,0,2,18.86,23.1795,0.72,19.0012,106
1/1/11,0,1,15,0,6,0,2,18.04,22.4094,0.77,19.9995,110
1/1/11,0,1,16,0,6,0,2,17.22,21.6342,0.82,19.9995,93
1/1/11,0,1,17,0,6,0,2,18.04,22.4094,0.82,19.0012,67
1/1/11,0,1,18,0,6,0,3,17.22,21.6342,0.88,16.9979,35
1/1/11,0,1,19,0,6,0,3,17.22,21.6342,0.88,16.9979,37
1/1/11,0,1,20,0,6,0,2,16.4,20.8641,0.87,16.9979,36
1/1/11,0,1,21,0,6,0,2,16.4,20.8641,0.87,12.998,34
1/1/11,0,1,22,0,6,0,2,16.4,20.8641,0.94,15.0013,28
1/1/11,0,1,23,0,6,0,2,18.86,23.1795,0.88,19.9995,39
1/2/11,0,1,0,0,0,0,2,18.86,23.1795,0.88,19.9995,17
1/2/11,0,1,1,0,0,0,2,18.04,22.4094,0.94,16.9979,17
1/2/11,0,1,2,0,0,0,2,17.22,21.6342,1,19.0012,9
1/2/11,0,1,3,0,0,0,2,18.86,23.1795,0.94,12.998,6
1/2/11,0,1,4,0,0,0,2,18.86,23.1795,0.94,12.998,3
1/2/11,0,1,6,0,0,0,3,17.22,21.6342,0.77,19.9995,2
1/2/11,0,1,7,0,0,0,2,16.4,20.8641,0.76,12.998,1
1/2/11,0,1,8,0,0,0,3,16.4,20.8641,0.71,15.0013,8
1/2/11,0,1,9,0,0,0,2,15.58,20.0889,0.76,15.0013,20
1/2/11,0,1,10,0,0,0,2,14.76,17.7735,0.81,15.0013,53
1/2/11,0,1,11,0,0,0,2,14.76,16.9983,0.71,16.9979,70
1/2/11,0,1,12,0,0,0,2,14.76,16.9983,0.66,19.9995,93
1/2/11,0,1,13,0,0,0,2,14.76,17.7735,0.66,8.9981,75
1/2/11,0,1,14,0,0,0,3,14.76,17.7735,0.76,12.998,59
1/2/11,0,1,15,0,0,0,3,13.94,16.9983,0.81,11.0014,74
1/2/11,0,1,16,0,0,0,3,13.94,16.9983,0.71,11.0014,76
1/2/11,0,1,17,0,0,0,1,13.94,16.9983,0.57,12.998,65
1/2/11,0,1,18,0,0,0,2,14.76,16.9983,0.46,22.0028,53
1/2/11,0,1,19,0,0,0,1,13.12,14.6829,0.42,30.0026,30
1/2/11,0,1,20,0,0,0,1,12.3,13.9077,0.39,23.9994,22
1/2/11,0,1,21,0,0,0,1,10.66,11.5923,0.44,22.0028,31
1/2/11,0,1,22,0,0,0,1,9.84,10.8171,0.44,19.9995,9
1/2/11,0,1,23,0,0,0,1,9.02,11.5923,0.47,11.0014,8
1/3/11,0,1,0,0,1,1,1,9.02,10.047,0.44,23.9994,5
1/3/11,0,1,1,0,1,1,1,8.2,8.5017,0.44,27.9993,2
1/3/11,0,1,4,0,1,1,1,6.56,6.9564,0.47,26.0027,1
1/3/11,0,1,5,0,1,1,1,6.56,6.9564,0.47,19.0012,3
1/3/11,0,1,6,0,1,1,1,5.74,5.4111,0.5,26.0027,30
1/3/11,0,1,7,0,1,1,1,5.74,6.9564,0.5,12.998,64
1/3/11,0,1,8,0,1,1,1,5.74,6.1812,0.5,19.0012,154
1/3/11,0,1,9,0,1,1,1,6.56,6.9564,0.43,26.0027,88
1/3/11,0,1,10,0,1,1,1,7.38,8.5017,0.43,16.9979,44
1/3/11,0,1,11,0,1,1,1,8.2,9.2718,0.4,22.0028,51
1/3/11,0,1,12,0,1,1,1,9.02,10.8171,0.35,19.9995,61
1/3/11,0,1,13,0,1,1,1,9.84,10.8171,0.35,19.0012,61
1/3/11,0,1,14,0,1,1,1,10.66,12.3624,0.3,19.0012,77
1/3/11,0,1,15,0,1,1,1,10.66,12.3624,0.3,16.9979,72
1/3/11,0,1,16,0,1,1,1,10.66,12.3624,0.3,16.9979,76
1/3/11,0,1,17,0,1,1,1,9.84,11.5923,0.3,15.0013,157
1/3/11,0,1,18,0,1,1,1,9.84,13.1376,0.32,7.0015,157
1/3/11,0,1,19,0,1,1,1,8.2,13.1376,0.47,0,110
1/3/11,0,1,20,0,1,1,1,8.2,11.5923,0.47,7.0015,52
1/3/11,0,1,21,0,1,1,1,7.38,10.047,0.64,8.9981,52
1/3/11,0,1,22,0,1,1,1,5.74,7.7265,0.69,8.9981,20
1/3/11,0,1,23,0,1,1,1,7.38,10.8171,0.55,7.0015,12
1/4/11,0,1,0,0,2,1,1,6.56,9.2718,0.55,7.0015,5
1/4/11,0,1,1,0,2,1,1,6.56,9.2718,0.59,7.0015,2
1/4/11,0,1,2,0,2,1,1,5.74,7.7265,0.63,8.9981,1
1/4/11,0,1,4,0,2,1,1,5.74,9.2718,0.63,6.0032,2
1/4/11,0,1,5,0,2,1,1,4.92,7.7265,0.68,7.0015,4
1/4/11,0,1,6,0,2,1,1,4.92,7.7265,0.74,7.0015,36
1/4/11,0,1,7,0,2,1,1,4.92,7.7265,0.74,8.9981,94
1/4/11,0,1,8,0,2,1,1,5.74,7.7265,0.69,11.0014,179
1/4/11,0,1,9,0,2,1,1,6.56,7.7265,0.64,15.0013,100
1/4/11,0,1,10,0,2,1,2,6.56,6.9564,0.69,22.0028,42
1/4/11,0,1,11,0,2,1,1,9.02,10.8171,0.51,19.9995,57
1/4/11,0,1,12,0,2,1,1,9.02,11.5923,0.51,11.0014,78
1/4/11,0,1,13,0,2,1,1,9.84,11.5923,0.56,12.998,97
1/4/11,0,1,14,0,2,1,1,10.66,13.1376,0.52,15.0013,63
1/4/11,0,1,15,0,2,1,1,11.48,13.9077,0.52,16.9979,65
1/4/11,0,1,16,0,2,1,1,12.3,14.6829,0.49,16.9979,83
1/4/11,0,1,17,0,2,1,1,11.48,13.9077,0.48,15.0013,212
1/4/11,0,1,18,0,2,1,1,10.66,13.1376,0.48,12.998,182
1/4/11,0,1,19,0,2,1,1,9.84,13.1376,0.48,7.0015,112
1/4/11,0,1,20,0,2,1,1,9.84,13.1376,0.48,7.0015,54
1/4/11,0,1,21,0,2,1,1,9.02,13.9077,0.64,0,48
1/4/11,0,1,22,0,2,1,1,9.02,13.1376,0.64,6.0032,35
1/4/11,0,1,23,0,2,1,1,8.2,11.5923,0.69,6.0032,11
1/5/11,0,1,0,0,3,1,1,8.2,13.1376,0.64,0,6
1/5/11,0,1,1,0,3,1,1,6.56,10.047,0.74,6.0032,6
1/5/11,0,1,2,0,3,1,1,6.56,10.047,0.74,6.0032,2
1/5/11,0,1,4,0,3,1,1,9.84,11.5923,0.48,15.0013,2
1/5/11,0,1,5,0,3,1,1,9.02,11.5923,0.47,11.0014,3
1/5/11,0,1,6,0,3,1,1,8.2,10.047,0.47,15.0013,33
1/5/11,0,1,7,0,3,1,1,7.38,9.2718,0.43,12.998,88
1/5/11,0,1,8,0,3,1,1,8.2,9.2718,0.4,19.9995,195
1/5/11,0,1,9,0,3,1,1,9.02,10.047,0.37,22.0028,115
1/5/11,0,1,10,0,3,1,1,9.02,10.047,0.37,22.0028,57
1/5/11,0,1,11,0,3,1,1,10.66,11.5923,0.33,22.0028,46
1/5/11,0,1,12,0,3,1,1,10.66,11.5923,0.33,22.0028,79
1/5/11,0,1,13,0,3,1,1,11.48,13.1376,0.3,19.9995,71
1/5/11,0,1,14,0,3,1,1,12.3,14.6829,0.28,12.998,62
1/5/11,0,1,15,0,3,1,1,12.3,14.6829,0.28,12.998,62
1/5/11,0,1,16,0,3,1,1,12.3,16.2282,0.28,6.0032,89
1/5/11,0,1,17,0,3,1,1,9.84,11.5923,0.38,12.998,190
1/5/11,0,1,18,0,3,1,1,9.84,12.3624,0.38,8.9981,169
1/5/11,0,1,19,0,3,1,1,9.84,13.1376,0.38,7.0015,132
1/5/11,0,1,20,0,3,1,1,9.02,11.5923,0.47,11.0014,89
1/5/11,0,1,21,0,3,1,1,8.2,10.047,0.51,12.998,43
1/5/11,0,1,22,0,3,1,1,7.38,10.047,0.55,8.9981,42
1/5/11,0,1,23,0,3,1,1,8.2,13.1376,0.47,0,19
1/6/11,0,1,0,0,4,1,1,7.38,12.3624,0.55,0,11
1/6/11,0,1,1,0,4,1,1,6.56,11.5923,0.64,0,4
1/6/11,0,1,2,0,4,1,1,6.56,11.5923,0.64,0,2
1/6/11,0,1,4,0,4,1,2,6.56,10.047,0.64,6.0032,1
1/6/11,0,1,5,0,4,1,2,5.74,9.2718,0.69,6.0032,4
1/6/11,0,1,6,0,4,1,2,5.74,8.5017,0.63,7.0015,36
1/6/11,0,1,7,0,4,1,2,6.56,11.5923,0.59,0,95
