Hour,Lane 1 Flow (Veh/Hour),Lane 2 Flow (Veh/Hour),Lane 3 Flow (Veh/Hour),Lane 4 Flow (Veh/Hour),Lane 5 Flow (Veh/Hour),Flow (Veh/Hour),# Lane Points,% Observed
1/14/2016 0:00,0,175,398,351,128,1052,60,60
1/14/2016 1:00,0,87,349,297,71,804,60,60
1/14/2016 2:00,0,101,361,314,117,893,60,60
1/14/2016 3:00,182,407,406,355,176,1526,60,60
1/14/2016 4:00,876,1094,727,645,488,3830,60,60
1/14/2016 5:00,1794,2007,1452,1265,1424,7942,60,60
1/14/2016 6:00,1677,2001,1513,1306,1534,8031,60,60
1/14/2016 7:00,1714,1992,1544,1347,1546,8143,60,60
1/14/2016 8:00,1558,1817,1465,1284,1452,7576,60,60
1/14/2016 9:00,1578,1775,1459,1274,1510,7596,60,60
1/14/2016 10:00,1621,1836,1241,1090,1070,6858,60,60
1/14/2016 11:00,1420,1702,1099,970,858,6049,60,60
1/14/2016 12:00,1385,1622,1140,1028,819,5994,60,30
1/14/2016 13:00,1274,1515,1012,888,701,5390,60,60
1/14/2016 14:00,1559,1486,1087,948,912,5992,60,60
1/14/2016 15:00,1498,1448,1091,947,905,5889,60,60
1/14/2016 16:00,1432,1425,1226,1063,1227,6373,60,60
1/14/2016 17:00,1075,1176,1115,961,1211,5538,60,60
1/14/2016 18:00,1454,1463,1282,1112,1324,6635,60,60
1/14/2016 19:00,1174,1257,1069,918,1032,5450,60,60
1/14/2016 20:00,918,1054,765,672,471,3880,60,60
1/14/2016 21:00,795,1023,728,637,412,3595,60,60
1/14/2016 22:00,851,1044,785,691,479,3850,60,60
1/14/2016 23:00,469,743,538,475,257,2482,60,60
1/15/2016 0:00,184,427,370,324,94,1399,60,60
1/15/2016 1:00,137,300,307,269,56,1069,60,60
1/15/2016 2:00,108,321,315,271,70,1085,60,60
1/15/2016 3:00,214,429,390,342,120,1495,60,60
1/15/2016 4:00,796,1084,712,627,501,3720,60,60
1/15/2016 5:00,1799,2023,1369,1189,1294,7674,60,60
1/15/2016 6:00,1829,2039,1488,1282,1520,8158,60,60
1/15/2016 7:00,1643,1867,1550,1367,1545,7972,60,60
1/15/2016 8:00,1541,1877,1435,1246,1440,7539,60,60
1/15/2016 9:00,1457,1791,1274,1115,1152,6789,60,60
1/15/2016 10:00,1597,1884,1282,1122,1145,7030,60,60
1/15/2016 11:00,1434,1652,1093,961,863,6003,60,60
1/15/2016 12:00,1346,1652,1067,939,748,5752,60,60
1/15/2016 13:00,1230,1424,1119,981,916,5670,60,60
1/15/2016 14:00,1472,1577,1134,995,907,6085,60,60
1/15/2016 15:00,1538,1631,1162,1020,951,6302,60,60
1/15/2016 16:00,1246,1333,1171,1024,1039,5813,60,60
1/15/2016 17:00,1147,1328,1214,1043,1233,5965,60,60
1/15/2016 18:00,1171,1317,1246,1074,1232,6040,60,60
1/15/2016 19:00,1372,1563,1227,1061,1175,6398,60,60
1/15/2016 20:00,992,1291,876,776,514,4449,60,60
1/15/2016 21:00,983,1186,868,752,411,4200,60,60
1/15/2016 22:00,891,1088,780,698,391,3848,60,60
1/15/2016 23:00,580,836,634,567,223,2840,60,60
1/16/2016 0:00,316,558,447,403,149,1873,60,60
1/16/2016 1:00,210,445,375,336,84,1450,60,60
1/16/2016 2:00,137,391,336,297,86,1247,60,60
1/16/2016 3:00,137,368,320,288,67,1180,60,60
1/16/2016 4:00,254,493,401,357,135,1640,60,60
1/16/2016 5:00,632,888,643,571,374,3108,60,60
1/16/2016 6:00,854,1065,746,659,493,3817,60,60
1/16/2016 7:00,934,1213,831,738,565,4281,60,60
1/16/2016 8:00,1279,1333,1010,883,717,5222,60,60
1/16/2016 9:00,1574,1588,1147,998,958,6265,60,60
1/16/2016 10:00,1585,1621,1227,1080,1054,6567,60,60
1/16/2016 11:00,1613,1649,1225,1067,1119,6673,60,60
1/16/2016 12:00,1360,1352,1156,993,1120,5981,60,60
1/16/2016 13:00,1712,1728,1311,1140,1160,7051,60,60
1/16/2016 14:00,1762,1724,1240,1078,1085,6889,60,60
1/16/2016 15:00,1623,1669,1237,1082,943,6554,60,60
1/16/2016 16:00,1558,1603,1175,1026,953,6315,60,60
1/16/2016 17:00,1505,1502,1193,1030,1097,6327,60,60
1/16/2016 18:00,1270,1304,1199,1034,1248,6055,60,60
1/16/2016 19:00,1412,1455,1223,1068,1090,6248,60,60
1/16/2016 20:00,1147,1376,933,821,562,4839,60,60
1/16/2016 21:00,1286,1413,990,872,587,5148,60,60
1/16/2016 22:00,1214,1319,929,812,533,4807,60,60
1/16/2016 23:00,723,958,699,616,292,3288,60,60
1/17/2016 0:00,375,621,485,426,135,2042,60,60
1/17/2016 1:00,210,458,408,360,124,1560,60,60
1/17/2016 2:00,146,354,350,312,70,1232,60,60
1/17/2016 3:00,127,325,319,280,67,1118,60,60
1/17/2016 4:00,181,415,371,329,104,1400,60,60
1/17/2016 5:00,404,601,489,423,251,2168,60,60
1/17/2016 6:00,620,847,625,545,372,3009,60,60
1/17/2016 7:00,653,899,665,582,399,3198,60,60
1/17/2016 8:00,906,1144,802,709,519,4080,60,60
