date,season,year,month,hour,holiday,weekday,workingday,weather,temp,feels_like,hum,windspeed
2012-02-12,1,1,2,0,0,0,0,3,0.1,0.0758,0.68,0.3881
2012-02-12,1,1,2,1,0,0,0,3,0.08,0.0455,0.79,0.4627
2012-02-12,1,1,2,2,0,0,0,2,0.1,0.0606,0.58,0.5821
2012-02-12,1,1,2,3,0,0,0,2,0.1,0.0455,0.46,0.6866
2012-02-12,1,1,2,4,0,0,0,2,0.1,0.0455,0.46,0.7164
2012-02-12,1,1,2,5,0,0,0,1,0.1,0.0758,0.49,0.3881
2012-02-12,1,1,2,6,0,0,0,1,0.1,0.0758,0.49,0.3881
2012-02-12,1,1,2,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998
2012-02-12,1,1,2,8,0,0,0,1,0.08,0.0758,0.53,0.2537
2012-02-12,1,1,2,9,0,0,0,1,0.1,0.0909,0.49,0.2985
2012-02-12,1,1,2,10,0,0,0,1,0.12,0.1061,0.42,0.3582
2012-02-12,1,1,2,11,0,0,0,1,0.12,0.1061,0.42,0.2985
2012-02-12,1,1,2,12,0,0,0,1,0.14,0.0758,0.39,0.6418
2012-02-12,1,1,2,13,0,0,0,1,0.16,0.1212,0.4,0.4478
2012-02-12,1,1,2,14,0,0,0,1,0.16,0.1212,0.4,0.5224
2012-02-12,1,1,2,15,0,0,0,1,0.16,0.1212,0.4,0.5522
2012-02-12,1,1,2,16,0,0,0,1,0.2,0.1667,0.34,0.4627
2012-02-12,1,1,2,17,0,0,0,1,0.18,0.1515,0.37,0.4179
2012-02-12,1,1,2,18,0,0,0,1,0.16,0.1212,0.4,0.4627
2012-02-12,1,1,2,19,0,0,0,1,0.16,0.1364,0.4,0.2836
2012-02-12,1,1,2,20,0,0,0,1,0.14,0.1212,0.42,0.3284
2012-02-12,1,1,2,21,0,0,0,1,0.14,0.1212,0.43,0.2985
2012-02-12,1,1,2,22,0,0,0,1,0.14,0.1515,0.43,0.1642
2012-02-12,1,1,2,23,0,0,0,1,0.14,0.1364,0.43,0.2239
2012-04-10,2,1,4,0,0,2,1,2,0.44,0.4394,0.47,0.2836
2012-04-10,2,1,4,1,0,2,1,1,0.42,0.4242,0.5,0.2239
2012-04-10,2,1,4,2,0,2,1,1,0.36,0.3485,0.71,0.1343
2012-04-10,2,1,4,3,0,2,1,1,0.36,0.3485,0.71,0.1343
2012-04-10,2,1,4,4,0,2,1,1,0.34,0.3333,0.71,0.1343
2012-04-10,2,1,4,5,0,2,1,1,0.34,0.3333,0.71,0.1343
2012-04-10,2,1,4,6,0,2,1,1,0.34,0.3485,0.71,0.1045
2012-04-10,2,1,4,7,0,2,1,1,0.34,0.3485,0.71,0.1045
2012-04-10,2,1,4,8,0,2,1,1,0.38,0.3939,0.62,0.1343
2012-04-10,2,1,4,9,0,2,1,1,0.42,0.4242,0.67,0.19399999999999998
2012-04-10,2,1,4,10,0,2,1,1,0.46,0.4545,0.47,0.1642
2012-04-10,2,1,4,11,0,2,1,1,0.5,0.4848,0.36,0.0
2012-04-10,2,1,4,12,0,2,1,1,0.54,0.5152,0.22,0.2836
2012-04-10,2,1,4,13,0,2,1,1,0.52,0.5,0.23,0.1642
2012-04-10,2,1,4,14,0,2,1,1,0.54,0.5152,0.24,0.19399999999999998
2012-04-10,2,1,4,15,0,2,1,1,0.56,0.5303,0.21,0.2985
2012-04-10,2,1,4,16,0,2,1,1,0.58,0.5455,0.21,0.2537
2012-04-10,2,1,4,17,0,2,1,1,0.56,0.5303,0.21,0.5224
2012-04-10,2,1,4,18,0,2,1,1,0.54,0.5152,0.22,0.4179
2012-04-10,2,1,4,19,0,2,1,1,0.52,0.5,0.2,0.3582
2012-04-10,2,1,4,20,0,2,1,1,0.46,0.4545,0.28,0.3881
2012-04-10,2,1,4,21,0,2,1,1,0.44,0.4394,0.3,0.4478
2012-04-10,2,1,4,22,0,2,1,1,0.4,0.4091,0.37,0.4925
2012-04-10,2,1,4,23,0,2,1,1,0.36,0.3333,0.4,0.4179
