date,season,year,month,hour,holiday,weekday,workingday,weather,temp,feels_like,hum,windspeed
2012-02-12,1,1,2,0,0,0,0,3,0.1,0.0758,0.68,0.3881
2012-02-12,1,1,2,1,0,0,0,3,0.08,0.0455,0.79,0.4627
2012-02-12,1,1,2,2,0,0,0,2,0.1,0.0606,0.58,0.5821
2012-02-12,1,1,2,3,0,0,0,2,0.1,0.0455,0.46,0.6866
2012-02-12,1,1,2,4,0,0,0,2,0.1,0.0455,0.46,0.7164
2012-02-12,1,1,2,5,0,0,0,1,0.1,0.0758,0.49,0.3881
2012-02-12,1,1,2,6,0,0,0,1,0.1,0.0758,0.49,0.3881
2012-02-12,1,1,2,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998
2012-02-12,1,1,2,8,0,0,0,1,0.08,0.0758,0.53,0.2537
2012-02-12,1,1,2,9,0,0,0,1,0.1,0.0909,0.49,0.2985
2012-02-12,1,1,2,10,0,0,0,1,0.12,0.1061,0.42,0.3582
2012-02-12,1,1,2,11,0,0,0,1,0.12,0.1061,0.42,0.2985
2012-02-12,1,1,2,12,0,0,0,1,0.14,0.0758,0.39,0.6418
2012-02-12,1,1,2,13,0,0,0,1,0.16,0.1212,0.4,0.4478
2012-02-12,1,1,2,14,0,0,0,1,0.16,0.1212,0.4,0.5224
2012-02-12,1,1,2,15,0,0,0,1,0.16,0.1212,0.4,0.5522
2012-02-12,1,1,2,16,0,0,0,1,0.2,0.1667,0.34,0.4627
2012-02-12,1,1,2,17,0,0,0,1,0.18,0.1515,0.37,0.4179
2012-02-12,1,1,2,18,0,0,0,1,0.16,0.1212,0.4,0.4627
2012-02-12,1,1,2,19,0,0,0,1,0.16,0.1364,0.4,0.2836
2012-02-12,1,1,2,20,0,0,0,1,0.14,0.1212,0.42,0.3284
2012-02-12,1,1,2,21,0,0,0,1,0.14,0.1212,0.43,0.2985
2012-02-12,1,1,2,22,0,0,0,1,0.14,0.1515,0.43,0.1642
2012-02-12,1,1,2,23,0,0,0,1,0.14,0.1364,0.43,0.2239
2012-03-08,1,1,3,0,0,4,1,1,0.44,0.4394,0.62,0.3284
2012-03-08,1,1,3,1,0,4,1,1,0.46,0.4545,0.63,0.3284
2012-03-08,1,1,3,2,0,4,1,1,0.46,0.4545,0.63,0.3881
2012-03-08,1,1,3,3,0,4,1,1,0.46,0.4545,0.63,0.3881
2012-03-08,1,1,3,4,0,4,1,1,0.44,0.4394,0.72,0.2836
2012-03-08,1,1,3,5,0,4,1,1,0.42,0.4242,0.77,0.2239
2012-03-08,1,1,3,6,0,4,1,1,0.42,0.4242,0.77,0.2537
2012-03-08,1,1,3,7,0,4,1,1,0.42,0.4242,0.77,0.3582
2012-03-08,1,1,3,8,0,4,1,1,0.44,0.4394,0.77,0.3881
2012-03-08,1,1,3,9,0,4,1,1,0.46,0.4545,0.72,0.4627
2012-03-08,1,1,3,10,0,4,1,1,0.5,0.4848,0.68,0.4627
2012-03-08,1,1,3,11,0,4,1,2,0.54,0.5152,0.6,0.4627
2012-03-08,1,1,3,12,0,4,1,2,0.56,0.5303,0.6,0.4478
2012-03-08,1,1,3,13,0,4,1,2,0.6,0.6212,0.49,0.6418
2012-03-08,1,1,3,14,0,4,1,2,0.62,0.6212,0.43,0.6418
2012-03-08,1,1,3,15,0,4,1,1,0.64,0.6212,0.38,0.6866
2012-03-08,1,1,3,16,0,4,1,2,0.62,0.6212,0.41,0.6418
2012-03-08,1,1,3,17,0,4,1,1,0.62,0.6212,0.38,0.6567
2012-03-08,1,1,3,18,0,4,1,2,0.62,0.6212,0.38,0.5522
2012-03-08,1,1,3,19,0,4,1,2,0.6,0.6212,0.4,0.4478
2012-03-08,1,1,3,20,0,4,1,2,0.6,0.6212,0.43,0.3881
2012-03-08,1,1,3,21,0,4,1,1,0.6,0.6212,0.43,0.3881
2012-03-08,1,1,3,22,0,4,1,1,0.56,0.5303,0.49,0.3284
2012-03-08,1,1,3,23,0,4,1,2,0.56,0.5303,0.49,0.4478
