date,season,year,month,hour,holiday,weekday,workingday,weather,temp,feels_like,hum,windspeed
2012-02-09,1,1,2,0,0,4,1,2,0.24,0.2424,0.87,0.1642
2012-02-09,1,1,2,1,0,4,1,2,0.24,0.2424,0.87,0.1343
2012-02-09,1,1,2,2,0,4,1,1,0.22,0.2273,0.8,0.1343
2012-02-09,1,1,2,3,0,4,1,1,0.22,0.2121,0.8,0.2836
2012-02-09,1,1,2,4,0,4,1,2,0.22,0.19699999999999998,0.75,0.4478
2012-02-09,1,1,2,5,0,4,1,1,0.2,0.1818,0.75,0.2836
2012-02-09,1,1,2,6,0,4,1,1,0.2,0.1818,0.75,0.2836
2012-02-09,1,1,2,7,0,4,1,1,0.2,0.19699999999999998,0.69,0.2537
2012-02-09,1,1,2,8,0,4,1,1,0.2,0.19699999999999998,0.64,0.2537
2012-02-09,1,1,2,9,0,4,1,1,0.2,0.19699999999999998,0.59,0.2239
2012-02-09,1,1,2,10,0,4,1,1,0.22,0.2121,0.51,0.2239
2012-02-09,1,1,2,11,0,4,1,1,0.24,0.2273,0.52,0.2239
2012-02-09,1,1,2,12,0,4,1,1,0.26,0.2273,0.48,0.3284
2012-02-09,1,1,2,13,0,4,1,1,0.3,0.2727,0.42,0.3284
2012-02-09,1,1,2,14,0,4,1,1,0.32,0.303,0.39,0.2985
2012-02-09,1,1,2,15,0,4,1,1,0.32,0.303,0.36,0.2985
2012-02-09,1,1,2,16,0,4,1,1,0.34,0.3333,0.36,0.0
2012-02-09,1,1,2,17,0,4,1,1,0.34,0.3333,0.34,0.1343
2012-02-09,1,1,2,18,0,4,1,1,0.34,0.3333,0.31,0.1642
2012-02-09,1,1,2,19,0,4,1,1,0.32,0.3333,0.33,0.1045
2012-02-09,1,1,2,20,0,4,1,1,0.32,0.3485,0.36,0.0
2012-02-09,1,1,2,21,0,4,1,1,0.3,0.3182,0.52,0.0896
2012-02-09,1,1,2,22,0,4,1,2,0.3,0.3333,0.56,0.0
2012-02-09,1,1,2,23,0,4,1,2,0.3,0.3333,0.52,0.0
2012-06-06,2,1,6,0,0,3,1,1,0.52,0.5,0.59,0.0896
2012-06-06,2,1,6,1,0,3,1,1,0.52,0.5,0.68,0.0
2012-06-06,2,1,6,2,0,3,1,1,0.5,0.4848,0.68,0.0
2012-06-06,2,1,6,3,0,3,1,1,0.46,0.4545,0.82,0.0
2012-06-06,2,1,6,4,0,3,1,1,0.46,0.4545,0.82,0.1045
2012-06-06,2,1,6,5,0,3,1,1,0.48,0.4697,0.77,0.0
2012-06-06,2,1,6,6,0,3,1,1,0.48,0.4697,0.77,0.0
2012-06-06,2,1,6,7,0,3,1,1,0.5,0.4848,0.72,0.0
2012-06-06,2,1,6,8,0,3,1,1,0.54,0.5152,0.68,0.0
2012-06-06,2,1,6,9,0,3,1,1,0.56,0.5303,0.6,0.0896
2012-06-06,2,1,6,10,0,3,1,1,0.6,0.6212,0.46,0.0896
2012-06-06,2,1,6,11,0,3,1,1,0.62,0.6212,0.43,0.0896
2012-06-06,2,1,6,12,0,3,1,1,0.62,0.6212,0.38,0.0
2012-06-06,2,1,6,13,0,3,1,1,0.62,0.6212,0.41,0.0896
2012-06-06,2,1,6,14,0,3,1,1,0.64,0.6212,0.38,0.0
2012-06-06,2,1,6,15,0,3,1,1,0.64,0.6212,0.38,0.0
