date,season,year,month,hour,holiday,weekday,workingday,weather,temp,feels_like,hum,windspeed
2012-01-11,1,1,1,0,0,3,1,1,0.26,0.303,0.81,0.0
2012-01-11,1,1,1,1,0,3,1,1,0.24,0.2576,0.87,0.0896
2012-01-11,1,1,1,2,0,3,1,1,0.2,0.2121,0.85,0.1642
2012-01-11,1,1,1,3,0,3,1,1,0.22,0.2727,0.8,0.0
2012-01-11,1,1,1,4,0,3,1,1,0.2,0.2121,0.8,0.1343
2012-01-11,1,1,1,5,0,3,1,1,0.2,0.2121,0.8,0.1343
2012-01-11,1,1,1,6,0,3,1,1,0.2,0.2121,0.86,0.1343
2012-01-11,1,1,1,7,0,3,1,1,0.2,0.2121,0.8,0.1343
2012-01-11,1,1,1,8,0,3,1,1,0.2,0.2273,0.82,0.1045
2012-01-11,1,1,1,9,0,3,1,2,0.2,0.2121,0.86,0.1343
2012-01-11,1,1,1,10,0,3,1,2,0.24,0.2424,0.87,0.1343
2012-01-11,1,1,1,11,0,3,1,2,0.26,0.2879,0.87,0.0896
2012-01-11,1,1,1,12,0,3,1,3,0.3,0.3333,0.81,0.0
2012-01-11,1,1,1,13,0,3,1,3,0.32,0.3485,0.76,0.0
2012-01-11,1,1,1,14,0,3,1,3,0.32,0.3333,0.81,0.1045
2012-01-11,1,1,1,15,0,3,1,2,0.34,0.3485,0.87,0.0896
2012-01-11,1,1,1,16,0,3,1,2,0.34,0.3182,0.87,0.2537
2012-01-11,1,1,1,17,0,3,1,3,0.34,0.3182,0.87,0.2239
2012-01-11,1,1,1,18,0,3,1,3,0.34,0.3333,0.87,0.19399999999999998
2012-01-11,1,1,1,19,0,3,1,3,0.32,0.303,0.93,0.2239
2012-01-11,1,1,1,20,0,3,1,3,0.32,0.3182,0.93,0.1642
2012-01-11,1,1,1,21,0,3,1,3,0.34,0.3182,0.87,0.2239
2012-01-11,1,1,1,22,0,3,1,3,0.34,0.3333,0.87,0.19399999999999998
2012-01-11,1,1,1,23,0,3,1,3,0.34,0.3182,0.87,0.2239
2012-03-08,1,1,3,0,0,4,1,1,0.44,0.4394,0.62,0.3284
2012-03-08,1,1,3,1,0,4,1,1,0.46,0.4545,0.63,0.3284
2012-03-08,1,1,3,2,0,4,1,1,0.46,0.4545,0.63,0.3881
2012-03-08,1,1,3,3,0,4,1,1,0.46,0.4545,0.63,0.3881
2012-03-08,1,1,3,4,0,4,1,1,0.44,0.4394,0.72,0.2836
2012-03-08,1,1,3,5,0,4,1,1,0.42,0.4242,0.77,0.2239
2012-03-08,1,1,3,6,0,4,1,1,0.42,0.4242,0.77,0.2537
2012-03-08,1,1,3,7,0,4,1,1,0.42,0.4242,0.77,0.3582
2012-03-08,1,1,3,8,0,4,1,1,0.44,0.4394,0.77,0.3881
2012-03-08,1,1,3,9,0,4,1,1,0.46,0.4545,0.72,0.4627
2012-03-08,1,1,3,10,0,4,1,1,0.5,0.4848,0.68,0.4627
2012-03-08,1,1,3,11,0,4,1,2,0.54,0.5152,0.6,0.4627
2012-03-08,1,1,3,12,0,4,1,2,0.56,0.5303,0.6,0.4478
2012-03-08,1,1,3,13,0,4,1,2,0.6,0.6212,0.49,0.6418
2012-03-08,1,1,3,14,0,4,1,2,0.62,0.6212,0.43,0.6418
