date,season,year,month,hour,holiday,weekday,workingday,weather,temp,feels_like,hum,windspeed
2012-01-14,1,1,1,0,0,6,0,1,0.16,0.1818,0.47,0.1045
2012-01-14,1,1,1,1,0,6,0,1,0.16,0.1515,0.47,0.19399999999999998
2012-01-14,1,1,1,2,0,6,0,1,0.16,0.1667,0.47,0.1642
2012-01-14,1,1,1,3,0,6,0,1,0.14,0.1667,0.54,0.1045
2012-01-14,1,1,1,4,0,6,0,1,0.14,0.1515,0.5,0.1343
2012-01-14,1,1,1,5,0,6,0,1,0.14,0.1515,0.5,0.1343
2012-01-14,1,1,1,6,0,6,0,1,0.14,0.1515,0.5,0.0
2012-01-14,1,1,1,7,0,6,0,1,0.14,0.1515,0.5,0.1343
2012-01-14,1,1,1,8,0,6,0,1,0.12,0.1515,0.54,0.1045
2012-01-14,1,1,1,9,0,6,0,1,0.14,0.1667,0.5,0.1045
2012-01-14,1,1,1,10,0,6,0,1,0.16,0.2273,0.47,0.0
2012-01-14,1,1,1,11,0,6,0,1,0.2,0.19699999999999998,0.4,0.19399999999999998
2012-01-14,1,1,1,12,0,6,0,1,0.22,0.2121,0.41,0.2537
2012-01-14,1,1,1,13,0,6,0,1,0.22,0.2121,0.44,0.2836
2012-01-14,1,1,1,14,0,6,0,1,0.24,0.2121,0.41,0.2985
2012-01-14,1,1,1,15,0,6,0,1,0.24,0.2121,0.38,0.2985
2012-01-14,1,1,1,16,0,6,0,1,0.24,0.2273,0.38,0.2239
2012-01-14,1,1,1,17,0,6,0,1,0.24,0.2273,0.41,0.2537
2012-01-14,1,1,1,18,0,6,0,1,0.22,0.2273,0.41,0.19399999999999998
2012-01-14,1,1,1,19,0,6,0,1,0.2,0.19699999999999998,0.47,0.2239
2012-01-14,1,1,1,20,0,6,0,1,0.2,0.19699999999999998,0.44,0.2537
2012-01-14,1,1,1,21,0,6,0,1,0.18,0.1667,0.43,0.2537
2012-01-14,1,1,1,22,0,6,0,1,0.16,0.1364,0.47,0.3582
2012-01-14,1,1,1,23,0,6,0,1,0.16,0.1515,0.47,0.2239
2012-02-09,1,1,2,0,0,4,1,2,0.24,0.2424,0.87,0.1642
2012-02-09,1,1,2,1,0,4,1,2,0.24,0.2424,0.87,0.1343
2012-02-09,1,1,2,2,0,4,1,1,0.22,0.2273,0.8,0.1343
2012-02-09,1,1,2,3,0,4,1,1,0.22,0.2121,0.8,0.2836
2012-02-09,1,1,2,4,0,4,1,2,0.22,0.19699999999999998,0.75,0.4478
2012-02-09,1,1,2,5,0,4,1,1,0.2,0.1818,0.75,0.2836
2012-02-09,1,1,2,6,0,4,1,1,0.2,0.1818,0.75,0.2836
2012-02-09,1,1,2,7,0,4,1,1,0.2,0.19699999999999998,0.69,0.2537
2012-02-09,1,1,2,8,0,4,1,1,0.2,0.19699999999999998,0.64,0.2537
2012-02-09,1,1,2,9,0,4,1,1,0.2,0.19699999999999998,0.59,0.2239
2012-02-09,1,1,2,10,0,4,1,1,0.22,0.2121,0.51,0.2239
2012-02-09,1,1,2,11,0,4,1,1,0.24,0.2273,0.52,0.2239
2012-02-09,1,1,2,12,0,4,1,1,0.26,0.2273,0.48,0.3284
2012-02-09,1,1,2,13,0,4,1,1,0.3,0.2727,0.42,0.3284
2012-02-09,1,1,2,14,0,4,1,1,0.32,0.303,0.39,0.2985
2012-02-09,1,1,2,15,0,4,1,1,0.32,0.303,0.36,0.2985
2012-02-09,1,1,2,16,0,4,1,1,0.34,0.3333,0.36,0.0
2012-02-09,1,1,2,17,0,4,1,1,0.34,0.3333,0.34,0.1343
2012-02-09,1,1,2,18,0,4,1,1,0.34,0.3333,0.31,0.1642
2012-02-09,1,1,2,19,0,4,1,1,0.32,0.3333,0.33,0.1045
2012-02-09,1,1,2,20,0,4,1,1,0.32,0.3485,0.36,0.0
2012-02-09,1,1,2,21,0,4,1,1,0.3,0.3182,0.52,0.0896
2012-02-09,1,1,2,22,0,4,1,2,0.3,0.3333,0.56,0.0
2012-02-09,1,1,2,23,0,4,1,2,0.3,0.3333,0.52,0.0
2012-02-12,1,1,2,0,0,0,0,3,0.1,0.0758,0.68,0.3881
2012-02-12,1,1,2,1,0,0,0,3,0.08,0.0455,0.79,0.4627
2012-02-12,1,1,2,2,0,0,0,2,0.1,0.0606,0.58,0.5821
2012-02-12,1,1,2,3,0,0,0,2,0.1,0.0455,0.46,0.6866
2012-02-12,1,1,2,4,0,0,0,2,0.1,0.0455,0.46,0.7164
2012-02-12,1,1,2,5,0,0,0,1,0.1,0.0758,0.49,0.3881
2012-02-12,1,1,2,6,0,0,0,1,0.1,0.0758,0.49,0.3881
